     pageID bytes
1  38573581  3779
2  25454008  4817
3  35925284  2142
4  50224434  2443
5  33728475  1666
6  41167047  4466
7   6314004 17229
8  34046906  8808
9  23119979  4609
10 24118682  7126
11 54721241  4343
12 21301732  5331
13 44798050  4620
14 30343888  4180
15 42746880 63302
16 23560929  1045
17 60805292  2341
18 10081077  4182
19 41403059  4055
20 27986123   558
