,contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop,runningpop
3019,KAZ,Kazakhstan,"Russia, C. Asia, SE Europe",1988,I,povcal,1,1988,10,1.6130832,8168.0,3998,,7089.0,16.130832,3566.236004700004
5502,USA,United States,Mature economies,1986,I,wyd,1,1988,3,24.4499008,8180.0,16411,19491.28196162233,29269.197265625,244.499008,3590.6859055000036
284,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,5,0.9901664000000001,8237.0,9653,12459.33873902407,23672.939453125,9.901664,3591.6760719000035
3167,KOR,"Korea, Rep.",Mature economies,1988,I,wyd,1,1988,8,4.1975,8302.0,7028,5194.199906039309,9977.13671875,41.975,3595.8735719000038
1885,GBR,United Kingdom,Mature economies,1986,I,wyd,1,1988,6,5.6928328,8324.0,8978,11262.25187198989,20009.89453125,56.928328,3601.5664047000037
171,AUT,Austria,Mature economies,1987,I,wyd,1,1988,2,0.7585316999999999,8333.0,14056,13816.96814901831,23062.646484375,7.585317,3602.3249364000035
4458,PRT,Portugal,Mature economies,1989,I,wyd,1,1988,9,1.001961,8364.0,5491,8602.400777211395,15528.70703125,10.01961,3603.3268974000034
2826,ITA,Italy,Mature economies,1986,I,wyd,1,1988,7,5.6629288,8443.0,7943,11681.59537054071,20977.615234375,56.629288,3608.9898262000033
4898,SVN,Slovenia,Mature economies,1987,I,povcal,1,1988,9,0.19951960000000002,8489.0,6151,,,1.995196,3609.189345800003
732,CAN,Canada,Mature economies,1987,I,wyd,1,1988,3,2.6895,8503.0,14401,13931.711995178908,26127.9375,26.895,3611.878845800003
1814,FRA,France,Mature economies,1989,I,wyd,1,1988,5,5.7668932,8542.0,10674,13408.86583479267,23767.998046875,57.668932,3617.6457390000032
1402,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,3,0.5129516,8559.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3618.1586906000034
1627,ESP,Spain,Mature economies,1990,I,wyd,1,1988,8,3.8715848,8566.0,7030,11104.36045104772,19776.65625,38.715848,3622.0302754000036
2962,JPN,Japan,Mature economies,1988,I,wyd,1,1988,3,12.2613,8612.0,12709,12993.78828708804,24021.92578125,122.613,3634.2915754000037
4409,POL,Poland,Mature economies,1987,I,povcal,1,1988,10,3.7824487999999996,8668.0,4096,4870.333441119676,9440.6748046875,37.824488,3638.074024200004
438,BGR,Bulgaria,Mature economies,1989,C,povcal,1,1988,9,0.8981446,8678.0,6203,4605.6326918683535,8135.71337890625,8.981446,3638.9721688000036
4065,NLD,Netherlands,Mature economies,1987,I,wyd,1,1988,6,1.4760094,8691.0,9574,12143.27512491104,23805.724609375,14.760094,3640.4481782000034
1342,DEU,Germany,Mature economies,1989,I,wyd,1,1988,3,7.8144616,8744.0,13913,14466.112435404219,24801.767578125,78.144616,3648.2626398000034
1529,ECU,Ecuador,L. America & Carib.,1987,I,povcal,1,1988,10,0.9792658000000001,8778.0,2284,2970.7477873448906,5172.47412109375,9.792658,3649.2419056000035
2658,IRL,Ireland,Mature economies,1987,I,wyd,1,1988,9,0.3524949,8864.0,5676,8159.454101445259,15347.359375,3.524949,3649.5944005000033
134,AUS,Australia,Mature economies,1989,I,wyd,1,1988,5,1.6532200000000001,8904.0,11678,12463.26584832049,23370.16796875,16.5322,3651.2476205000034
1745,FIN,Finland,Mature economies,1987,I,wyd,1,1988,6,0.4946481,8953.0,9268,10371.71359432845,21054.041015625,4.9464809999999995,3651.7422686000036
3447,LVA,Latvia,Mature economies,1988,I,povcal,1,1988,8,0.2653434,8968.0,7321,7573.604390386194,10428.2744140625,2.653434,3652.0076120000035
285,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,6,0.9901664000000001,9132.0,9653,12459.33873902407,23672.939453125,9.901664,3652.9977784000034
5249,TUR,Turkey,"Russia, C. Asia, SE Europe",1987,C,povcal,1,1988,10,5.22785,9155.0,2593,4456.082873578906,7604.22607421875,52.2785,3658.2256284000036
1268,CYP,Cyprus,Mature economies,1990,I,wyd,1,1988,9,0.07365310000000001,9305.0,6221,6925.126518431175,18091.318359375,0.736531,3658.2992815000034
2086,GRC,Greece,Mature economies,1988,I,wyd,1,1988,7,1.0036983,9347.0,9085,10454.33926429884,16890.1953125,10.036983,3659.3029798000034
4849,SVK,Slovak Republic,Mature economies,1988,I,povcal,1,1988,10,0.5250596,9365.0,5163,,13004.4580078125,5.250596,3659.8280394000035
